"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","zhiyicommuni_49:83:8c","Broadcast","ARP","60","Who has 192.168.101.13? Tell 192.168.101.1"
"2","0.000074","AzureWaveTec_df:75:0d","zhiyicommuni_49:83:8c","ARP","42","192.168.101.13 is at 14:13:33:df:75:0d"
"3","0.572145","200.25.7.126","192.168.101.13","TCP","54","80  >  52490 [FIN, ACK] Seq=1 Ack=1 Win=21 Len=0"
"4","0.572145","200.25.7.126","192.168.101.13","TCP","54","80  >  52488 [FIN, ACK] Seq=1 Ack=1 Win=21 Len=0"
"5","0.572145","200.25.7.126","192.168.101.13","TCP","54","80  >  52489 [FIN, ACK] Seq=1 Ack=1 Win=21 Len=0"
"6","0.572945","192.168.101.13","200.25.7.126","TCP","54","52490  >  80 [ACK] Seq=1 Ack=2 Win=255 Len=0"
"7","0.572945","192.168.101.13","200.25.7.126","TCP","54","52488  >  80 [ACK] Seq=1 Ack=2 Win=251 Len=0"
"8","0.572947","192.168.101.13","200.25.7.126","TCP","54","52489  >  80 [ACK] Seq=1 Ack=2 Win=255 Len=0"
"9","0.573093","192.168.101.13","200.25.7.126","TCP","54","52489  >  80 [FIN, ACK] Seq=1 Ack=2 Win=255 Len=0"
"10","0.573156","192.168.101.13","200.25.7.126","TCP","54","52489  >  80 [RST, ACK] Seq=2 Ack=2 Win=0 Len=0"
"11","0.573173","192.168.101.13","200.25.7.126","TCP","54","52490  >  80 [FIN, ACK] Seq=1 Ack=2 Win=255 Len=0"
"12","0.573173","192.168.101.13","200.25.7.126","TCP","54","52488  >  80 [FIN, ACK] Seq=1 Ack=2 Win=251 Len=0"
"13","0.573266","192.168.101.13","200.25.7.126","TCP","54","52490  >  80 [RST, ACK] Seq=2 Ack=2 Win=0 Len=0"
"14","0.573355","192.168.101.13","200.25.7.126","TCP","54","52488  >  80 [RST, ACK] Seq=2 Ack=2 Win=0 Len=0"
"15","0.716972","200.25.7.126","192.168.101.13","TCP","54","80  >  52489 [ACK] Seq=2 Ack=2 Win=21 Len=0"
"16","0.716972","200.25.7.126","192.168.101.13","TCP","54","80  >  52490 [ACK] Seq=2 Ack=2 Win=21 Len=0"
"17","0.716972","200.25.7.126","192.168.101.13","TCP","54","80  >  52488 [ACK] Seq=2 Ack=2 Win=21 Len=0"
"18","0.717122","192.168.101.13","200.25.7.126","TCP","54","52489  >  80 [RST] Seq=2 Win=0 Len=0"
"19","0.717171","192.168.101.13","200.25.7.126","TCP","54","52490  >  80 [RST] Seq=2 Win=0 Len=0"
"20","0.717192","192.168.101.13","200.25.7.126","TCP","54","52488  >  80 [RST] Seq=2 Win=0 Len=0"
"21","0.729194","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","118","Standard query 0xaede AAAA inputsuggestions.msdxcdn.microsoft.com"
"22","0.729194","fe80::f036:1b87:d1eb:960a","fe80::1","DNS","118","Standard query 0xcd53 A inputsuggestions.msdxcdn.microsoft.com"
"23","0.815728","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","225","Standard query response 0xcd53 No such name A inputsuggestions.msdxcdn.microsoft.com CNAME msdx-cdn-y86ykn8r9v.azureedge.net SOA ns1-06.azure-dns.com"
"24","0.838398","fe80::1","fe80::f036:1b87:d1eb:960a","DNS","225","Standard query response 0xaede No such name AAAA inputsuggestions.msdxcdn.microsoft.com CNAME msdx-cdn-y86ykn8r9v.azureedge.net SOA ns1-06.azure-dns.com"
"25","0.939957","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2a03:2880:f32f:122:face:b00c:0:7260","TCP","74","52517  >  443 [FIN, ACK] Seq=1 Ack=1 Win=255 Len=0"
"26","0.943593","192.168.101.13","57.144.115.33","TCP","66","52518  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"27","1.024258","2a03:2880:f32f:122:face:b00c:0:7260","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TCP","74","443  >  52517 [ACK] Seq=1 Ack=2 Win=370 Len=0"
"28","1.024258","57.144.115.33","192.168.101.13","TCP","66","5222  >  52518 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"29","1.024584","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"30","1.025209","192.168.101.13","57.144.115.33","TCP","331","52518  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=277 [TCP PDU reassembled in 113]"
"31","1.042559","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=1 Ack=278 Win=66816 Len=0"
"32","1.062487","2a03:2880:f32f:122:face:b00c:0:7260","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","TCP","74","443  >  52517 [FIN, ACK] Seq=1 Ack=2 Win=370 Len=0"
"33","1.062669","2803:b2a0:82:d894:7065:ca3:f8fe:e0ed","2a03:2880:f32f:122:face:b00c:0:7260","TCP","74","52517  >  443 [ACK] Seq=2 Ack=2 Win=255 Len=0"
"34","1.167692","57.144.115.33","192.168.101.13","TCP","111","5222  >  52518 [PSH, ACK] Seq=1 Ack=278 Win=66816 Len=57 [TCP PDU reassembled in 119]"
"35","1.167692","57.144.115.33","192.168.101.13","TCP","115","5222  >  52518 [PSH, ACK] Seq=58 Ack=278 Win=66816 Len=61 [TCP PDU reassembled in 119]"
"36","1.167872","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [ACK] Seq=278 Ack=119 Win=65280 Len=0"
"37","1.180982","192.168.101.13","57.144.115.33","TCP","160","52518  >  5222 [PSH, ACK] Seq=278 Ack=119 Win=65280 Len=106 [TCP PDU reassembled in 113]"
"38","1.181139","192.168.101.13","57.144.115.33","TCP","79","52518  >  5222 [PSH, ACK] Seq=384 Ack=119 Win=65280 Len=25 [TCP PDU reassembled in 113]"
"39","1.181413","192.168.101.13","57.144.115.33","TCP","111","52518  >  5222 [PSH, ACK] Seq=409 Ack=119 Win=65280 Len=57 [TCP PDU reassembled in 113]"
"40","1.181526","192.168.101.13","57.144.115.33","TCP","111","52518  >  5222 [PSH, ACK] Seq=466 Ack=119 Win=65280 Len=57 [TCP PDU reassembled in 113]"
"41","1.181644","192.168.101.13","57.144.115.33","TCP","140","52518  >  5222 [PSH, ACK] Seq=523 Ack=119 Win=65280 Len=86 [TCP PDU reassembled in 113]"
"42","1.181726","192.168.101.13","57.144.115.33","TCP","136","52518  >  5222 [PSH, ACK] Seq=609 Ack=119 Win=65280 Len=82 [TCP PDU reassembled in 113]"
"43","1.181800","192.168.101.13","57.144.115.33","TCP","111","52518  >  5222 [PSH, ACK] Seq=691 Ack=119 Win=65280 Len=57 [TCP PDU reassembled in 113]"
"44","1.181879","192.168.101.13","57.144.115.33","TCP","144","52518  >  5222 [PSH, ACK] Seq=748 Ack=119 Win=65280 Len=90 [TCP PDU reassembled in 113]"
"45","1.181966","192.168.101.13","57.144.115.33","TCP","184","52518  >  5222 [PSH, ACK] Seq=838 Ack=119 Win=65280 Len=130 [TCP PDU reassembled in 113]"
"46","1.182050","192.168.101.13","57.144.115.33","TCP","111","52518  >  5222 [PSH, ACK] Seq=968 Ack=119 Win=65280 Len=57 [TCP PDU reassembled in 113]"
"47","1.182115","192.168.101.13","57.144.115.33","TCP","206","52518  >  5222 [PSH, ACK] Seq=1025 Ack=119 Win=65280 Len=152 [TCP PDU reassembled in 113]"
"48","1.182210","192.168.101.13","57.144.115.33","TCP","162","52518  >  5222 [PSH, ACK] Seq=1177 Ack=119 Win=65280 Len=108 [TCP PDU reassembled in 113]"
"49","1.182266","192.168.101.13","57.144.115.33","TCP","124","52518  >  5222 [PSH, ACK] Seq=1285 Ack=119 Win=65280 Len=70 [TCP PDU reassembled in 113]"
"50","1.182319","192.168.101.13","57.144.115.33","TCP","124","52518  >  5222 [PSH, ACK] Seq=1355 Ack=119 Win=65280 Len=70 [TCP PDU reassembled in 113]"
"51","1.182416","192.168.101.13","57.144.115.33","TCP","107","52518  >  5222 [PSH, ACK] Seq=1425 Ack=119 Win=65280 Len=53 [TCP PDU reassembled in 113]"
"52","1.182577","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=1478 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"53","1.182654","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=1550 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"54","1.182736","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=1622 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"55","1.182827","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=1694 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"56","1.182918","192.168.101.13","57.144.115.33","TCP","177","52518  >  5222 [PSH, ACK] Seq=1766 Ack=119 Win=65280 Len=123 [TCP PDU reassembled in 113]"
"57","1.182996","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=1889 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"58","1.183047","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=1961 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"59","1.183139","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=2033 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"60","1.183218","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=2105 Ack=119 Win=65280 Len=72 [TCP PDU reassembled in 113]"
"61","1.183311","192.168.101.13","57.144.115.33","TCP","125","52518  >  5222 [PSH, ACK] Seq=2177 Ack=119 Win=65280 Len=71 [TCP PDU reassembled in 113]"
"62","1.183379","192.168.101.13","57.144.115.33","TCP","96","52518  >  5222 [PSH, ACK] Seq=2248 Ack=119 Win=65280 Len=42 [TCP PDU reassembled in 113]"
"63","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=384 Win=66816 Len=0"
"64","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=409 Win=66816 Len=0"
"65","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=466 Win=66816 Len=0"
"66","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=523 Win=66816 Len=0"
"67","1.228909","57.144.115.33","192.168.101.13","TCP","66","[TCP Dup ACK 66#1] 5222  >  52518 [ACK] Seq=119 Ack=523 Win=67840 Len=0 SLE=691 SRE=748"
"68","1.228909","57.144.115.33","192.168.101.13","TCP","66","5222  >  52518 [ACK] Seq=119 Ack=609 Win=67840 Len=0 SLE=691 SRE=748"
"69","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=748 Win=67840 Len=0"
"70","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=838 Win=67840 Len=0"
"71","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=968 Win=68864 Len=0"
"72","1.228909","57.144.115.33","192.168.101.13","TCP","54","5222  >  52518 [ACK] Seq=119 Ack=1025 Win=68864 Len=0"
"73","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=1177 Win=69888 Len=0"
"74","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=1285 Win=69888 Len=0"
"75","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=1355 Win=69888 Len=0"
"76","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=1425 Win=69888 Len=0"
"77","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=1478 Win=69888 Len=0"
"78","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=1889 Win=69888 Len=0"
"79","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=2033 Win=69888 Len=0"
"80","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=2105 Win=69888 Len=0"
"81","1.228909","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=119 Ack=2290 Win=69888 Len=0"
"82","1.393661","57.144.115.33","192.168.101.13","TCP","100","5222  >  52518 [PSH, ACK] Seq=119 Ack=2290 Win=69888 Len=46 [TCP PDU reassembled in 119]"
"83","1.393661","57.144.115.33","192.168.101.13","TCP","107","5222  >  52518 [PSH, ACK] Seq=165 Ack=2290 Win=69888 Len=53 [TCP PDU reassembled in 119]"
"84","1.393661","57.144.115.33","192.168.101.13","TCP","93","5222  >  52518 [PSH, ACK] Seq=218 Ack=2290 Win=69888 Len=39 [TCP PDU reassembled in 119]"
"85","1.393661","57.144.115.33","192.168.101.13","TCP","116","5222  >  52518 [PSH, ACK] Seq=257 Ack=2290 Win=69888 Len=62 [TCP PDU reassembled in 119]"
"86","1.393902","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [ACK] Seq=2290 Ack=319 Win=65024 Len=0"
"87","1.394722","192.168.101.13","57.144.115.33","TCP","90","52518  >  5222 [PSH, ACK] Seq=2290 Ack=319 Win=65024 Len=36 [TCP PDU reassembled in 113]"
"88","1.394806","192.168.101.13","57.144.115.33","TCP","100","52518  >  5222 [PSH, ACK] Seq=2326 Ack=319 Win=65024 Len=46 [TCP PDU reassembled in 113]"
"89","1.394848","192.168.101.13","57.144.115.33","TCP","93","52518  >  5222 [PSH, ACK] Seq=2372 Ack=319 Win=65024 Len=39 [TCP PDU reassembled in 113]"
"90","1.394925","192.168.101.13","57.144.115.33","TCP","88","52518  >  5222 [PSH, ACK] Seq=2411 Ack=319 Win=65024 Len=34 [TCP PDU reassembled in 113]"
"91","1.396186","192.168.101.13","57.144.115.33","TCP","215","52518  >  5222 [PSH, ACK] Seq=2445 Ack=319 Win=65024 Len=161 [TCP PDU reassembled in 113]"
"92","1.433914","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=319 Ack=2326 Win=69888 Len=0"
"93","1.433914","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=319 Ack=2445 Win=69888 Len=0"
"94","1.433914","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=319 Ack=2606 Win=70912 Len=0"
"95","1.505999","57.144.115.33","192.168.101.13","TCP","103","5222  >  52518 [PSH, ACK] Seq=319 Ack=2606 Win=70912 Len=49 [TCP PDU reassembled in 119]"
"96","1.505999","57.144.115.33","192.168.101.13","TCP","367","5222  >  52518 [PSH, ACK] Seq=368 Ack=2606 Win=70912 Len=313 [TCP PDU reassembled in 119]"
"97","1.505999","57.144.115.33","192.168.101.13","TCP","91","5222  >  52518 [PSH, ACK] Seq=681 Ack=2606 Win=70912 Len=37 [TCP PDU reassembled in 119]"
"98","1.506199","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [ACK] Seq=2606 Ack=718 Win=64768 Len=0"
"99","1.510518","192.168.101.13","57.144.115.33","TCP","174","52518  >  5222 [PSH, ACK] Seq=2606 Ack=718 Win=64768 Len=120 [TCP PDU reassembled in 113]"
"100","1.510625","192.168.101.13","57.144.115.33","TCP","175","52518  >  5222 [PSH, ACK] Seq=2726 Ack=718 Win=64768 Len=121 [TCP PDU reassembled in 113]"
"101","1.510685","192.168.101.13","57.144.115.33","TCP","102","52518  >  5222 [PSH, ACK] Seq=2847 Ack=718 Win=64768 Len=48 [TCP PDU reassembled in 113]"
"102","1.511828","192.168.101.13","57.144.115.33","TCP","174","52518  >  5222 [PSH, ACK] Seq=2895 Ack=718 Win=64768 Len=120 [TCP PDU reassembled in 113]"
"103","1.512280","192.168.101.13","57.144.115.33","TCP","176","52518  >  5222 [PSH, ACK] Seq=3015 Ack=718 Win=64768 Len=122 [TCP PDU reassembled in 113]"
"104","1.512382","192.168.101.13","57.144.115.33","TCP","102","52518  >  5222 [PSH, ACK] Seq=3137 Ack=718 Win=64768 Len=48 [TCP PDU reassembled in 113]"
"105","1.638724","57.144.115.33","192.168.101.13","TCP","369","5222  >  52518 [PSH, ACK] Seq=718 Ack=2606 Win=70912 Len=315 [TCP PDU reassembled in 119]"
"106","1.638724","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=1033 Ack=2895 Win=70912 Len=0"
"107","1.638724","57.144.115.33","192.168.101.13","TCP","56","5222  >  52518 [ACK] Seq=1033 Ack=3137 Win=70912 Len=0"
"108","1.638724","57.144.115.33","192.168.101.13","TCP","174","5222  >  52518 [PSH, ACK] Seq=1033 Ack=3185 Win=70912 Len=120 [TCP PDU reassembled in 119]"
"109","1.638724","57.144.115.33","192.168.101.13","TCP","107","5222  >  52518 [PSH, ACK] Seq=1153 Ack=3185 Win=70912 Len=53 [TCP PDU reassembled in 119]"
"110","1.638724","57.144.115.33","192.168.101.13","TCP","96","5222  >  52518 [PSH, ACK] Seq=1206 Ack=3185 Win=70912 Len=42 [TCP PDU reassembled in 119]"
"111","1.638724","57.144.115.33","192.168.101.13","TCP","214","5222  >  52518 [PSH, ACK] Seq=1248 Ack=3185 Win=70912 Len=160 [TCP PDU reassembled in 119]"
"112","1.638973","192.168.101.13","57.144.115.33","TCP","54","52518  >  5222 [ACK] Seq=3185 Ack=1408 Win=65280 Len=0"
"113","1.652735","192.168.101.13","57.144.115.33","TCP","126","52518  >  5222 [PSH, ACK] Seq=3185 Ack=1408 Win=65280 Len=72 [TCP PDU reassembled in 113]"
